prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser
558955ebfdf99b6bd06016c9,1,0.29,24,16,0,0,0,NA,10,70,NA
558955ebfdf99b6bd06016c9,2,0.27999999999999997,24,18,1,0,8,hot_win_number,11,89,0
558955ebfdf99b6bd06016c9,3,0.26999999999999996,24,36,0,0,0,NA,9,80,NA
558955ebfdf99b6bd06016c9,4,0.25999999999999995,24,28,1,0,8,nonhot_win_number,6,88,0
558955ebfdf99b6bd06016c9,5,0.6099999999999999,24,24,0,1,0,NA,0,NA,NA
558955ebfdf99b6bd06016c9,6,0.5999999999999999,20,21,0,0,0,NA,16,83,NA
558955ebfdf99b6bd06016c9,7,0.5899999999999999,20,29,0,0,0,NA,10,83,NA
558955ebfdf99b6bd06016c9,8,0.5799999999999998,20,30,0,0,0,NA,13,85,NA
558955ebfdf99b6bd06016c9,9,0.9299999999999998,20,20,0,1,0,NA,0,NA,NA
558955ebfdf99b6bd06016c9,10,0.9199999999999998,11,30,1,0,3,nonhot_win_number,12,83,0
558955ebfdf99b6bd06016c9,11,0.9099999999999998,11,6,1,0,2,nonhot_win_number,13,82,0
558955ebfdf99b6bd06016c9,12,0.8999999999999998,11,10,0,0,0,NA,10,84,NA
558955ebfdf99b6bd06016c9,13,0.8899999999999998,11,2,1,0,3,hot_win_number,9,86,0
558955ebfdf99b6bd06016c9,14,0.8799999999999998,11,3,1,0,2,hot_win_number,9,83,0
558955ebfdf99b6bd06016c9,15,0.8699999999999998,11,35,1,0,16,hot_win_number,12,88,0
558955ebfdf99b6bd06016c9,16,0.8599999999999998,11,33,0,0,0,NA,11,80,NA
558955ebfdf99b6bd06016c9,17,0.8499999999999998,11,9,0,0,0,NA,17,80,NA
558955ebfdf99b6bd06016c9,18,1.1999999999999995,11,11,0,1,0,NA,0,NA,NA
558955ebfdf99b6bd06016c9,19,1.1899999999999995,1,6,0,0,0,NA,8,81,NA
558955ebfdf99b6bd06016c9,20,1.1799999999999995,1,28,1,0,16,nonhot_win_number,14,80,0
558955ebfdf99b6bd06016c9,21,1.1699999999999997,1,34,0,0,0,NA,13,81,NA
558955ebfdf99b6bd06016c9,22,1.1599999999999997,14,32,1,0,1,nonhot_win_number,17,79,NA
558955ebfdf99b6bd06016c9,23,1.1499999999999997,1,8,1,0,1,nonhot_win_number,9,84,0
558955ebfdf99b6bd06016c9,24,1.4999999999999996,1,1,0,1,0,NA,0,NA,NA
5d42486206811e001ada5b4b,1,0.29,34,7,1,0,3,nonhot_win_number,66,94,0
5d42486206811e001ada5b4b,2,0.27999999999999997,13,4,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,3,0.26999999999999996,21,7,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,4,0.6199999999999999,10,10,0,1,0,NA,0,NA,NA
5d42486206811e001ada5b4b,5,0.6099999999999999,14,15,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,6,0.5999999999999999,19,12,1,0,8,hot_win_number,100,100,0
5d42486206811e001ada5b4b,7,0.5899999999999999,10,14,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,8,0.5799999999999998,16,21,1,0,2,hot_win_number,100,100,0
5d42486206811e001ada5b4b,9,0.5699999999999998,17,13,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,10,0.9199999999999998,15,15,0,1,0,NA,0,NA,NA
5d42486206811e001ada5b4b,11,0.9099999999999998,19,22,1,0,16,nonhot_win_number,100,100,0
5d42486206811e001ada5b4b,12,0.8999999999999998,18,28,1,0,1,nonhot_win_number,100,100,0
5d42486206811e001ada5b4b,13,0.8899999999999998,32,4,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,14,0.8799999999999998,10,4,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,15,0.8699999999999998,10,32,1,0,2,nonhot_win_number,100,100,0
5d42486206811e001ada5b4b,16,1.2199999999999998,15,15,0,1,0,NA,0,NA,NA
5d42486206811e001ada5b4b,17,1.2099999999999995,4,1,0,0,0,NA,100,100,NA
5d42486206811e001ada5b4b,18,1.1999999999999995,11,33,1,0,3,hot_win_number,100,100,0
