prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass,feedback,age,gamble_freq_12mo,hot_reliance,race,gender,ethnicity
558955ebfdf99b6bd06016c9,1,0.29,24,16,No Banner,Lost,0,NA,Chose Non-Hot,10,70,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,2,0.27999999999999997,24,18,Banner,Lost,8,hot_win_number,Chose Non-Hot,11,89,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,3,0.26999999999999996,24,36,No Banner,Lost,0,NA,Chose Non-Hot,9,80,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,4,0.25999999999999995,24,28,Banner,Lost,8,nonhot_win_number,Chose Non-Hot,6,88,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,5,0.6099999999999999,24,24,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,6,0.5999999999999999,20,21,No Banner,Lost,0,NA,Chose Non-Hot,16,83,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,7,0.5899999999999999,20,29,No Banner,Lost,0,NA,Chose Non-Hot,10,83,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,8,0.5799999999999998,20,30,No Banner,Lost,0,NA,Chose Non-Hot,13,85,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,9,0.9299999999999998,20,20,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,10,0.9199999999999998,11,30,Banner,Lost,3,nonhot_win_number,Chose Non-Hot,12,83,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,11,0.9099999999999998,11,6,Banner,Lost,2,nonhot_win_number,Chose Non-Hot,13,82,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,12,0.8999999999999998,11,10,No Banner,Lost,0,NA,Chose Non-Hot,10,84,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,13,0.8899999999999998,11,2,Banner,Lost,3,hot_win_number,Chose Non-Hot,9,86,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,14,0.8799999999999998,11,3,Banner,Lost,2,hot_win_number,Chose Non-Hot,9,83,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,15,0.8699999999999998,11,35,Banner,Lost,16,hot_win_number,Chose Non-Hot,12,88,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,16,0.8599999999999998,11,33,No Banner,Lost,0,NA,Chose Non-Hot,11,80,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,17,0.8499999999999998,11,9,No Banner,Lost,0,NA,Chose Non-Hot,17,80,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,18,1.1999999999999995,11,11,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,19,1.1899999999999995,1,6,No Banner,Lost,0,NA,Chose Non-Hot,8,81,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,20,1.1799999999999995,1,28,Banner,Lost,16,nonhot_win_number,Chose Non-Hot,14,80,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,21,1.1699999999999997,1,34,No Banner,Lost,0,NA,Chose Non-Hot,13,81,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,22,1.1599999999999997,14,32,Banner,Lost,1,nonhot_win_number,Chose Hot,17,79,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,23,1.1499999999999997,1,8,Banner,Lost,1,nonhot_win_number,Chose Non-Hot,9,84,0,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558955ebfdf99b6bd06016c9,24,1.4999999999999996,1,1,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,I played without looking at the hot numbers and assumed true randomness.,35,Never,NA,White,Male,Non-Hispanic
558acd52fdf99b65685f03d9,1,0.29,15,13,Banner,Lost,3,nonhot_win_number,Chose Hot,87,34,81,2,"No feedback to provide, but thank you.",34,A few times,NA,Multiracial/Mixed,Female,Non-Hispanic
558acd52fdf99b65685f03d9,2,0.27999999999999997,4,11,Banner,Lost,1,nonhot_win_number,Chose Hot,100,100,NA,2,"No feedback to provide, but thank you.",34,A few times,NA,Multiracial/Mixed,Female,Non-Hispanic
