prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass,feedback,age,gamble_freq_12mo,hot_reliance,race,gender,ethnicity
P0001,1,0.09000000000000001,9,2,No Banner,Lost,0,NA,Chose Non-Hot,28,79,NA,2,,37,Never,NA,White,Female,Non-Hispanic
P0001,2,0.08000000000000002,29,1,Banner,Lost,2,hot_win_number,Chose Non-Hot,84,100,0,2,,37,Never,NA,White,Female,Non-Hispanic
P0001,3,0.07000000000000002,19,4,Banner,Lost,16,hot_win_number,Chose Non-Hot,52,100,5,2,,37,Never,NA,White,Female,Non-Hispanic
P0001,4,0.42,17,17,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2,,37,Never,NA,White,Female,Non-Hispanic
P0007,1,0.09000000000000001,1,22,No Banner,Lost,0,NA,Chose Non-Hot,67,83,NA,2,"It was hard to choose the right number, but fun when I won.",36,Never,NA,White,Male,Non-Hispanic
P0007,2,0.08000000000000002,3,36,Banner,Lost,2,hot_win_number,Chose Hot,75,96,NA,2,"It was hard to choose the right number, but fun when I won.",36,Never,NA,White,Male,Non-Hispanic
P0007,3,0.07000000000000002,1,10,Banner,Lost,16,hot_win_number,Chose Hot,83,99,0,2,"It was hard to choose the right number, but fun when I won.",36,Never,NA,White,Male,Non-Hispanic
P0007,4,0.42,1,1,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2,"It was hard to choose the right number, but fun when I won.",36,Never,NA,White,Male,Non-Hispanic
P0014,1,0.09000000000000001,36,16,No Banner,Lost,0,NA,Chose Non-Hot,0,50,NA,1,,33,Daily or almost daily,NA,White,Male,Non-Hispanic
P0014,2,0.08000000000000002,36,15,Banner,Lost,2,hot_win_number,Chose Non-Hot,3,50,0,1,,33,Daily or almost daily,NA,White,Male,Non-Hispanic
P0014,3,0.07000000000000002,36,9,Banner,Lost,16,hot_win_number,Chose Hot,0,50,0,1,,33,Daily or almost daily,NA,White,Male,Non-Hispanic
P0014,4,0.42,36,36,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,,33,Daily or almost daily,NA,White,Male,Non-Hispanic
P0015,1,0.09000000000000001,11,4,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,n/a,36,Never,NA,White,Male,Non-Hispanic
P0015,2,0.08000000000000002,20,1,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,1,n/a,36,Never,NA,White,Male,Non-Hispanic
P0015,3,0.07000000000000002,2,29,Banner,Lost,16,hot_win_number,Chose Hot,95,100,85,1,n/a,36,Never,NA,White,Male,Non-Hispanic
P0015,4,0.42,12,12,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,n/a,36,Never,NA,White,Male,Non-Hispanic
P0019,1,0.09000000000000001,5,36,No Banner,Lost,0,NA,Chose Non-Hot,0,0,NA,1,,56,About once a month,NA,White,Male,Non-Hispanic
P0019,2,0.08000000000000002,27,30,Banner,Lost,2,hot_win_number,Chose Hot,0,0,NA,1,,56,About once a month,NA,White,Male,Non-Hispanic
