prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass,feedback,age,gamble_freq_12mo,hot_reliance,race,gender,ethnicity
P0005,1,-0.01,11,8,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,2,-0.02,16,23,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,3,0.32999999999999996,26,26,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,4,0.31999999999999995,11,33,Banner,Lost,8,nonhot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,5,0.30999999999999994,35,6,Banner,Lost,16,nonhot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,6,0.29999999999999993,36,10,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,7,0.2899999999999999,22,13,Banner,Lost,8,hot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,8,0.2799999999999999,18,9,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,9,0.2699999999999999,25,14,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,10,0.2599999999999999,25,20,Banner,Lost,2,nonhot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,11,0.2499999999999999,29,34,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,12,0.5999999999999999,7,7,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,13,0.5899999999999999,5,3,Banner,Lost,16,hot_win_number,Chose Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,14,0.5799999999999998,29,17,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
P0005,15,0.5699999999999998,15,31,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,1,,41,Never,NA,White,Male,Non-Hispanic
