prolific_pid,trial,chosen_number,winner_number,win_status,consider_set_size,outcome_rel_to_consider,is_no_consider_trial,winner_in_consider,choice_in_consider,regret_chosen,regret_notchosen_winner,comp_tries_to_pass,feedback,age,gamble_freq_12mo,hot_reliance,race,gender,ethnicity
P0004,1,15,31,Lost,0,NA,TRUE,FALSE,FALSE,8,14,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,2,3,7,Lost,8,winner_in_set,FALSE,TRUE,TRUE,15,22,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,3,20,5,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,9,12,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,4,16,14,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,10,15,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,5,8,2,Lost,16,winner_in_set,FALSE,TRUE,TRUE,4,14,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,6,4,4,Won,16,NA,FALSE,TRUE,TRUE,0,NA,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,7,1,5,Lost,2,winner_in_set,FALSE,TRUE,TRUE,24,41,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,8,1,36,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,4,6,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,9,9,34,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,3,5,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,10,1,3,Lost,3,winner_in_set,FALSE,TRUE,TRUE,10,24,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,11,1,30,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,1,3,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
