"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"2193","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","2194","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","","","","","","","","","",""
"42583","","","instructions","1","2.1.0","44777","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","[{""page_index"":0,""viewing_time"":3463},{""page_index"":1,""viewing_time"":6671},{""page_index"":2,""viewing_time"":4848},{""page_index"":3,""viewing_time"":3128},{""page_index"":4,""viewing_time"":2921},{""page_index"":5,""viewing_time"":7896},{""page_index"":6,""viewing_time"":8280},{""page_index"":7,""viewing_time"":2472},{""page_index"":8,""viewing_time"":2904}]","","","","","","","","","",""
"15223","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","60001","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","[0,1,2,3,4]","false","","","","","","","",""
"2695","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","3","2.1.0","62698","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","","","","","","","","","",""
"33599","","","instructions","4","2.1.0","96297","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","[{""page_index"":0,""viewing_time"":1560},{""page_index"":1,""viewing_time"":3552},{""page_index"":2,""viewing_time"":1192},{""page_index"":1,""viewing_time"":7631},{""page_index"":2,""viewing_time"":3762},{""page_index"":3,""viewing_time"":2944},{""page_index"":4,""viewing_time"":1888},{""page_index"":5,""viewing_time"":3201},{""page_index"":6,""viewing_time"":4463},{""page_index"":7,""viewing_time"":2105},{""page_index"":8,""viewing_time"":1303}]","","","","","","","","","",""
"15208","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","5","2.1.0","111506","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","[0,1,2,3,4]","false","","","","","","","",""
"1903","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","6","2.1.0","113410","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","","","","","","","","","",""
"35511","","","instructions","7","2.1.0","148921","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","[{""page_index"":0,""viewing_time"":3463},{""page_index"":1,""viewing_time"":10153},{""page_index"":2,""viewing_time"":783},{""page_index"":1,""viewing_time"":1801},{""page_index"":2,""viewing_time"":2080},{""page_index"":3,""viewing_time"":1640},{""page_index"":4,""viewing_time"":2280},{""page_index"":5,""viewing_time"":6681},{""page_index"":6,""viewing_time"":3759},{""page_index"":7,""viewing_time"":1393},{""page_index"":8,""viewing_time"":1480}]","","","","","","","","","",""
"14568","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","8","2.1.0","163490","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","[0,1,2,3,4]","true","","","","","","","",""
"3646","
        <h3>You are now ready to begin the game.</h3>
        <img class=""instr-hero"" src=""img/heart.png"" alt=""Minecraft illustration"">
        <p>Remember, your goal is to mine as many emeralds as you can.</p>
        <p><b>Happy mining!</b></p>
        <p>Press any key to start.</p>
      "," ","html-keyboard-response","10","2.1.0","167137","5b97f8988ae8150001c7a887","5b97f8988ae8150001c7a887","697191ef92bff03015a0bf86","697197eec206a290524dd41d","2026-01-22T03:22:32.795Z","","","","","","","","","","",""
