"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"16292","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","16304","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"56329","","","instructions","1","2.1.0","72636","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","[{""page_index"":0,""viewing_time"":4494},{""page_index"":1,""viewing_time"":9347},{""page_index"":2,""viewing_time"":7680},{""page_index"":3,""viewing_time"":3872},{""page_index"":4,""viewing_time"":3614},{""page_index"":5,""viewing_time"":13767},{""page_index"":6,""viewing_time"":9022},{""page_index"":7,""viewing_time"":2098},{""page_index"":8,""viewing_time"":2435}]","","","","","","","","","",""
"19359","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","91997","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","[0,1,2,3,4]","true","","","","","","","",""
"2910","
        <h3>You are now ready to begin the game.</h3>
        <img class=""instr-hero"" src=""img/heart.png"" alt=""Minecraft illustration"">
        <p>Remember, your goal is to mine as many emeralds as you can.</p>
        <p><b>Happy mining!</b></p>
        <p>Press any key to start.</p>
      "," ","html-keyboard-response","4","2.1.0","94908","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"","","","html-keyboard-response","5","2.1.0","99950","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","3","15","-0.01","1","0","1","[3]","nonhot_win_number"
"3070","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>15</b></p>
              <p>Block that you chose: <b>3</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">0</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","6","2.1.0","103024","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"7336","","{""regret_chosen"":74,""regret_not_winner"":19}","survey-html-form","7","2.1.0","110361","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","3","15","","1","","","[3]","nonhot_win_number"
"","","","html-keyboard-response","8","2.1.0","114908","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","6","30","-0.02","1","0","16","[15,31,13,5,33,30,19,20,28,6,24,27,14,10,29,26]","hot_win_number"
"2976","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>30</b></p>
              <p>Block that you chose: <b>6</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">0</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","9","2.1.0","117886","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"8468","","{""regret_chosen"":17,""regret_not_winner"":56}","survey-html-form","10","2.1.0","126356","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","6","30","","1","","","[15,31,13,5,33,30,19,20,28,6,24,27,14,10,29,26]","hot_win_number"
"","","","html-keyboard-response","11","2.1.0","132520","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","6","29","-0.03","0","0","0","[]","NA"
"4155","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>29</b></p>
              <p>Block that you chose: <b>6</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">0</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","12","2.1.0","136675","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"5244","","{""regret_chosen"":45,""regret_not_winner"":24}","survey-html-form","13","2.1.0","141920","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","6","29","","0","","","[]","NA"
"","","","html-keyboard-response","14","2.1.0","144513","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","28","11","-0.04","0","0","0","[]","NA"
"3301","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>11</b></p>
              <p>Block that you chose: <b>28</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">0</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","15","2.1.0","147815","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"4971","","{""regret_chosen"":14,""regret_not_winner"":43}","survey-html-form","16","2.1.0","152788","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","28","11","","0","","","[]","NA"
"","","","html-keyboard-response","17","2.1.0","168309","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","27","27","0.31","0","1","0","[]","NA"
"2982","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/emerald.png""
                alt=""Win""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#1a7f37; margin-bottom:6px;"">
                You got emerald!
              </h2>

              <p>Block that had an emerald: <b>27</b></p>
              <p>Block that you chose: <b>27</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">1</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","18","2.1.0","171294","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"4610","","{""regret_chosen"":0}","survey-html-form","19","2.1.0","175904","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","27","27","","0","","","[]","NA"
"","","","html-keyboard-response","20","2.1.0","179897","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","10","12","0.3","0","0","0","[]","NA"
"2511","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>12</b></p>
              <p>Block that you chose: <b>10</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">1</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","21","2.1.0","182410","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"6463","","{""regret_chosen"":20,""regret_not_winner"":42}","survey-html-form","22","2.1.0","188873","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","10","12","","0","","","[]","NA"
"","","","html-keyboard-response","23","2.1.0","192214","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","13","30","0.29","1","0","1","[13]","nonhot_win_number"
"2072","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>30</b></p>
              <p>Block that you chose: <b>13</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">1</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","24","2.1.0","194287","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"5176","","{""regret_chosen"":82,""regret_not_winner"":12}","survey-html-form","25","2.1.0","199463","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","13","30","","1","","","[13]","nonhot_win_number"
"","","","html-keyboard-response","26","2.1.0","207828","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","16","17","0.27999999999999997","0","0","0","[]","NA"
"1568","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/creeper.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You got nothing.
              </h2>

              <p>Block that had an emerald: <b>17</b></p>
              <p>Block that you chose: <b>16</b></p>

              <div class=""wins-display"" aria-label=""Wins so far"">
                <img src=""img/emerald.png"" alt=""Emerald"">
                <span class=""wins-label"">Wins:</span>
                <span class=""wins-count"">1</span>
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","27","2.1.0","209399","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","","","","","","","",""
"4395","","{""regret_chosen"":13,""regret_not_winner"":40}","survey-html-form","28","2.1.0","213793","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","16","17","","0","","","[]","NA"
"","","","html-keyboard-response","29","2.1.0","225013","5f9e1fc8517e0d3d1b35859e","5f9e1fc8517e0d3d1b35859e","697191ef92bff03015a0bf86","697197adabb55e2f6696b635","2026-01-22T03:22:00.320Z","","","","15","6","0.26999999999999996","1","0","3","[16,8,6]","hot_win_number"
