"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"3613","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","3619","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","","","","","","","","","",""
"108219","","","instructions","1","2.1.0","111840","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","[{""page_index"":0,""viewing_time"":7067},{""page_index"":1,""viewing_time"":9018},{""page_index"":2,""viewing_time"":11301},{""page_index"":3,""viewing_time"":32737},{""page_index"":4,""viewing_time"":7296},{""page_index"":5,""viewing_time"":15795},{""page_index"":6,""viewing_time"":2901},{""page_index"":7,""viewing_time"":9424},{""page_index"":8,""viewing_time"":7690},{""page_index"":9,""viewing_time"":1942},{""page_index"":10,""viewing_time"":3049}]","","","","","","","","","",""
"13043","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","124885","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","[0,1,2,3,4]","false","","","","","","","",""
"2528","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","3","2.1.0","127416","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","","","","","","","","","",""
"43599","","","instructions","4","2.1.0","171017","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","[{""page_index"":0,""viewing_time"":3840},{""page_index"":1,""viewing_time"":3148},{""page_index"":2,""viewing_time"":10112},{""page_index"":3,""viewing_time"":5666},{""page_index"":4,""viewing_time"":7167},{""page_index"":5,""viewing_time"":4838},{""page_index"":6,""viewing_time"":1879},{""page_index"":7,""viewing_time"":2829},{""page_index"":8,""viewing_time"":1342},{""page_index"":9,""viewing_time"":1625},{""page_index"":10,""viewing_time"":1154}]","","","","","","","","","",""
"14203","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","5","2.1.0","185223","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","[0,1,2,3,4]","false","","","","","","","",""
"1888","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","6","2.1.0","187113","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","","","","","","","","","",""
"16064","","","instructions","7","2.1.0","203179","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","[{""page_index"":0,""viewing_time"":1295},{""page_index"":1,""viewing_time"":1104},{""page_index"":2,""viewing_time"":5463},{""page_index"":3,""viewing_time"":2138},{""page_index"":4,""viewing_time"":931},{""page_index"":5,""viewing_time"":744},{""page_index"":6,""viewing_time"":844},{""page_index"":7,""viewing_time"":1147},{""page_index"":8,""viewing_time"":971},{""page_index"":9,""viewing_time"":695},{""page_index"":10,""viewing_time"":732}]","","","","","","","","","",""
"9869","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","8","2.1.0","213050","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","[0,1,2,3,4]","false","","","","","","","",""
"1306","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","9","2.1.0","214358","60e88e0b7d305b5fbae3ebef","60e88e0b7d305b5fbae3ebef","697001ac4d594eadb9108322","6970074e8359ef1b6fd481b5","2026-01-20T22:53:11.904Z","","","","","","","","","","",""
