"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"11858","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","11860","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"105256","","","instructions","1","2.1.0","117117","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","[{""page_index"":0,""viewing_time"":6558},{""page_index"":1,""viewing_time"":9632},{""page_index"":2,""viewing_time"":16025},{""page_index"":3,""viewing_time"":22695},{""page_index"":4,""viewing_time"":4144},{""page_index"":5,""viewing_time"":6192},{""page_index"":6,""viewing_time"":5857},{""page_index"":7,""viewing_time"":10607},{""page_index"":8,""viewing_time"":17361},{""page_index"":9,""viewing_time"":2543},{""page_index"":10,""viewing_time"":3641}]","","","","","","","","","",""
"19222","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","136341","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","[0,1,2,3,4]","false","","","","","","","",""
"2766","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","3","2.1.0","139110","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"59277","","","instructions","4","2.1.0","198389","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","[{""page_index"":0,""viewing_time"":3533},{""page_index"":1,""viewing_time"":4800},{""page_index"":2,""viewing_time"":9857},{""page_index"":3,""viewing_time"":5320},{""page_index"":4,""viewing_time"":6623},{""page_index"":5,""viewing_time"":8472},{""page_index"":6,""viewing_time"":7064},{""page_index"":7,""viewing_time"":6504},{""page_index"":8,""viewing_time"":2784},{""page_index"":9,""viewing_time"":2249},{""page_index"":10,""viewing_time"":2071}]","","","","","","","","","",""
"134013","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","5","2.1.0","332406","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","[0,1,2,3,4]","false","","","","","","","",""
"1516","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","6","2.1.0","333925","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"30253","","","instructions","7","2.1.0","364181","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","[{""page_index"":0,""viewing_time"":1421},{""page_index"":1,""viewing_time"":3529},{""page_index"":2,""viewing_time"":1735},{""page_index"":3,""viewing_time"":1753},{""page_index"":4,""viewing_time"":3415},{""page_index"":5,""viewing_time"":6024},{""page_index"":6,""viewing_time"":5976},{""page_index"":7,""viewing_time"":1416},{""page_index"":8,""viewing_time"":1408},{""page_index"":9,""viewing_time"":2608},{""page_index"":10,""viewing_time"":968}]","","","","","","","","","",""
"42301","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""False""}","survey-multi-choice","8","2.1.0","406485","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","[0,1,2,3,4]","false","","","","","","","",""
"1909","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","9","2.1.0","408397","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"27637","","","instructions","10","2.1.0","436036","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","[{""page_index"":0,""viewing_time"":1125},{""page_index"":1,""viewing_time"":488},{""page_index"":2,""viewing_time"":2496},{""page_index"":3,""viewing_time"":3344},{""page_index"":4,""viewing_time"":1696},{""page_index"":5,""viewing_time"":5400},{""page_index"":6,""viewing_time"":1520},{""page_index"":7,""viewing_time"":3672},{""page_index"":8,""viewing_time"":5608},{""page_index"":9,""viewing_time"":1304},{""page_index"":10,""viewing_time"":984}]","","","","","","","","","",""
"25558","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","11","2.1.0","461597","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","[0,1,2,3,4]","false","","","","","","","",""
"1285","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","12","2.1.0","462885","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"13485","","","instructions","13","2.1.0","476372","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","[{""page_index"":0,""viewing_time"":989},{""page_index"":1,""viewing_time"":1032},{""page_index"":2,""viewing_time"":1752},{""page_index"":3,""viewing_time"":928},{""page_index"":4,""viewing_time"":896},{""page_index"":5,""viewing_time"":2344},{""page_index"":6,""viewing_time"":872},{""page_index"":7,""viewing_time"":1288},{""page_index"":8,""viewing_time"":1240},{""page_index"":9,""viewing_time"":944},{""page_index"":10,""viewing_time"":1200}]","","","","","","","","","",""
"48966","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","14","2.1.0","525341","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","[0,1,2,3,4]","true","","","","","","","",""
"6724","
        <h3>You are now ready to begin the game.</h3>
        <p>Remember, your goal is to earn as much money as you can.</p>
        <p><b>May the odds be in your favor!</b></p>
        <p>Press any key to start.</p>
      "," ","html-keyboard-response","16","2.1.0","532066","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"","","","html-keyboard-response","17","2.1.0","537163","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","33","12","0.09000000000000001","0","0","0","[]","NA"
"1635","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>12</b></p>

              <div id=""balance-display"">
                Balance: $0.09
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","18","2.1.0","538798","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"5947","","{""regret_chosen"":46,""regret_not_winner"":74}","survey-html-form","19","2.1.0","544748","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","33","12","","0","","","[]","NA"
"","","","html-keyboard-response","20","2.1.0","550266","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","28","34","0.08000000000000002","1","0","2","[34,28]","hot_win_number"
"1926","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>34</b></p>

              <div id=""balance-display"">
                Balance: $0.08
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","21","2.1.0","552193","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"7600","","{""regret_chosen"":38,""regret_not_winner"":84}","survey-html-form","22","2.1.0","559796","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","28","34","","1","","","[34,28]","hot_win_number"
"","","","html-keyboard-response","23","2.1.0","569931","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","11","30","0.07000000000000002","1","0","16","[24,23,13,22,18,7,26,19,4,2,17,34,5,30,12,11]","hot_win_number"
"1778","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>30</b></p>

              <div id=""balance-display"">
                Balance: $0.07
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","24","2.1.0","571709","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"7069","","{""regret_chosen"":87,""regret_not_winner"":69,""regret_not_hot_probe"":56}","survey-html-form","25","2.1.0","578780","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","11","30","","1","","","[24,23,13,22,18,7,26,19,4,2,17,34,5,30,12,11]","hot_win_number"
"","","","html-keyboard-response","26","2.1.0","581242","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","32","32","0.42","0","1","0","[]","NA"
"3696","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/gain.png""
                alt=""Win""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#1a7f37; margin-bottom:6px;"">
                You WON!
              </h2>

              <p>Winning number: <b>32</b></p>

              <div id=""balance-display"">
                Balance: $0.42
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          "," ","html-keyboard-response","27","2.1.0","584939","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","","","","","","","",""
"15512","","{""regret_chosen"":0}","survey-html-form","28","2.1.0","600453","615ddab1e4f013092538b6c5","615ddab1e4f013092538b6c5","697001ac4d594eadb9108322","697005d8892721ba4897b284","2026-01-20T22:47:01.938Z","","","","32","32","","0","","","[]","NA"
