"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"5946","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","5957","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","","","","","","","","","",""
"68853","","","instructions","1","2.1.0","74815","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","[{""page_index"":0,""viewing_time"":11353},{""page_index"":1,""viewing_time"":7020},{""page_index"":2,""viewing_time"":12168},{""page_index"":3,""viewing_time"":6549},{""page_index"":4,""viewing_time"":4258},{""page_index"":5,""viewing_time"":6450},{""page_index"":6,""viewing_time"":3088},{""page_index"":7,""viewing_time"":8126},{""page_index"":8,""viewing_time"":6429},{""page_index"":9,""viewing_time"":1602},{""page_index"":10,""viewing_time"":1811}]","","","","","","","","","",""
"12636","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","87461","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","[0,1,2,3,4]","false","","","","","","","",""
"1404","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","3","2.1.0","88871","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","","","","","","","","","",""
"3350","","","instructions","4","2.1.0","92224","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","[{""page_index"":0,""viewing_time"":1408},{""page_index"":1,""viewing_time"":155},{""page_index"":2,""viewing_time"":139},{""page_index"":3,""viewing_time"":111},{""page_index"":4,""viewing_time"":129},{""page_index"":5,""viewing_time"":130},{""page_index"":6,""viewing_time"":124},{""page_index"":7,""viewing_time"":148},{""page_index"":8,""viewing_time"":304},{""page_index"":9,""viewing_time"":369},{""page_index"":10,""viewing_time"":333}]","","","","","","","","","",""
"13609","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","5","2.1.0","105837","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","[0,1,2,3,4]","false","","","","","","","",""
"1679","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","6","2.1.0","107522","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","","","","","","","","","",""
"9326","","","instructions","7","2.1.0","116850","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","[{""page_index"":0,""viewing_time"":1713},{""page_index"":1,""viewing_time"":354},{""page_index"":2,""viewing_time"":3064},{""page_index"":3,""viewing_time"":749},{""page_index"":4,""viewing_time"":476},{""page_index"":5,""viewing_time"":1860},{""page_index"":6,""viewing_time"":265},{""page_index"":7,""viewing_time"":203},{""page_index"":8,""viewing_time"":175},{""page_index"":9,""viewing_time"":171},{""page_index"":10,""viewing_time"":298}]","","","","","","","","","",""
"10238","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","8","2.1.0","127093","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","[0,1,2,3,4]","true","","","","","","","",""
"2180","
        <h3>You are now ready to begin the game.</h3>
        <p>Remember, your goal is to earn as much money as you can.</p>
        <p><b>May the odds be in your favor!</b></p>
        <p>Press any key to start.</p>
      ","Enter","html-keyboard-response","10","2.1.0","129279","6405feae7d6321bfaaf793e8","6405feae7d6321bfaaf793e8","696a97ad50e2fdc7466c7392","697119e1e487ed7a0baf7e84","2026-01-21T18:24:52.948Z","","","","","","","","","","",""
