"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"3907","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","3912","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","","","","","","","",""
"47910","","","instructions","1","2.1.0","51824","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","[{""page_index"":0,""viewing_time"":3493},{""page_index"":1,""viewing_time"":2696},{""page_index"":2,""viewing_time"":7062},{""page_index"":3,""viewing_time"":4795},{""page_index"":4,""viewing_time"":6374},{""page_index"":5,""viewing_time"":4766},{""page_index"":6,""viewing_time"":3808},{""page_index"":7,""viewing_time"":4249},{""page_index"":8,""viewing_time"":4094},{""page_index"":9,""viewing_time"":2929},{""page_index"":10,""viewing_time"":3644}]","","","","","","","","","",""
"21527","","{""Q0"":""True"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","73354","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","[0,1,2,3,4]","false","","","","","","","",""
"2289","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","3","2.1.0","75647","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","","","","","","","",""
"33066","","","instructions","4","2.1.0","108715","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","[{""page_index"":0,""viewing_time"":2041},{""page_index"":1,""viewing_time"":2626},{""page_index"":2,""viewing_time"":5539},{""page_index"":3,""viewing_time"":3059},{""page_index"":4,""viewing_time"":3752},{""page_index"":5,""viewing_time"":3349},{""page_index"":6,""viewing_time"":1834},{""page_index"":7,""viewing_time"":3500},{""page_index"":8,""viewing_time"":4743},{""page_index"":9,""viewing_time"":1450},{""page_index"":10,""viewing_time"":1174}]","","","","","","","","","",""
"15667","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","5","2.1.0","124384","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","[0,1,2,3,4]","false","","","","","","","",""
"1565","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","6","2.1.0","125951","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","","","","","","","",""
"14242","","","instructions","7","2.1.0","140194","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","[{""page_index"":0,""viewing_time"":1983},{""page_index"":1,""viewing_time"":1008},{""page_index"":2,""viewing_time"":2606},{""page_index"":3,""viewing_time"":991},{""page_index"":4,""viewing_time"":1442},{""page_index"":5,""viewing_time"":1001},{""page_index"":6,""viewing_time"":754},{""page_index"":7,""viewing_time"":1219},{""page_index"":8,""viewing_time"":1486},{""page_index"":9,""viewing_time"":1075},{""page_index"":10,""viewing_time"":679}]","","","","","","","","","",""
"11850","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""True"",""Q3"":""False"",""Q4"":""True""}","survey-multi-choice","8","2.1.0","152047","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","[0,1,2,3,4]","false","","","","","","","",""
"4821","
          <h3>Oh no!</h3>
          <p>You got one or more questions wrong.</p>
          <p>Please go back, review the instructions, and try the comprehension check again!</p>
        ","0","html-button-response","9","2.1.0","156871","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","","","","","","","",""
"21502","","","instructions","10","2.1.0","178374","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","[{""page_index"":0,""viewing_time"":1501},{""page_index"":1,""viewing_time"":1235},{""page_index"":2,""viewing_time"":4149},{""page_index"":3,""viewing_time"":1167},{""page_index"":4,""viewing_time"":1003},{""page_index"":5,""viewing_time"":714},{""page_index"":6,""viewing_time"":678},{""page_index"":7,""viewing_time"":1152},{""page_index"":8,""viewing_time"":1596},{""page_index"":9,""viewing_time"":1423},{""page_index"":8,""viewing_time"":4880},{""page_index"":9,""viewing_time"":1225},{""page_index"":10,""viewing_time"":781}]","","","","","","","","","",""
"19688","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","11","2.1.0","198064","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","[0,1,2,3,4]","true","","","","","","","",""
"3237","
        <h3>You are now ready to begin the game.</h3>
        <p>Remember, your goal is to earn as much money as you can.</p>
        <p><b>May the odds be in your favor!</b></p>
        <p>Press any key to start.</p>
      ","n","html-keyboard-response","13","2.1.0","201302","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","","","","","","","",""
"","","","html-keyboard-response","14","2.1.0","215168","64309be1d7d085ed8ee4c129","64309be1d7d085ed8ee4c129","696a97ad50e2fdc7466c7392","697151b7961f623687b94b91","2026-01-21T22:22:57.306Z","","","","7","2","0.29","0","0","0","[]","NA"
