"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","prolific_pid","prolific_study_id","prolific_session_id","date_iso","view_history","question_order","correct","choice","outcome","balance","banner","win_status","hot_set_size","hot_numbers","outcome_rel_to_hot"
"8411","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about your feelings and yourself. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 5-10 minutes. </p><p><b> Payment:</b> You will receive compensation as indicated in the Prolific listing. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Kate Petrova, Email: kpetrova@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","html-button-response","0","2.1.0","8413","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","","","","","","","",""
"63848","","","instructions","1","2.1.0","72260","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","[{""page_index"":0,""viewing_time"":5983},{""page_index"":1,""viewing_time"":7536},{""page_index"":2,""viewing_time"":11216},{""page_index"":3,""viewing_time"":9569},{""page_index"":4,""viewing_time"":6456},{""page_index"":5,""viewing_time"":2480},{""page_index"":6,""viewing_time"":3160},{""page_index"":7,""viewing_time"":6088},{""page_index"":8,""viewing_time"":7184},{""page_index"":9,""viewing_time"":2176},{""page_index"":10,""viewing_time"":2000}]","","","","","","","","","",""
"22520","","{""Q0"":""False"",""Q1"":""True"",""Q2"":""False"",""Q3"":""True"",""Q4"":""True""}","survey-multi-choice","2","2.1.0","94782","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","[0,1,2,3,4]","true","","","","","","","",""
"3946","
        <h3>You are now ready to begin the game.</h3>
        <p>Remember, your goal is to earn as much money as you can.</p>
        <p><b>May the odds be in your favor!</b></p>
        <p>Press any key to start.</p>
      ","h","html-keyboard-response","4","2.1.0","98730","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","","","","","","","",""
"","","","html-keyboard-response","5","2.1.0","104700","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","11","1","0.09000000000000001","0","0","0","[]","NA"
"3295","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>1</b></p>

              <div id=""balance-display"">
                Balance: $0.09
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          ","g","html-keyboard-response","6","2.1.0","107996","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","","","","","","","",""
"17808","","{""regret_chosen"":25,""regret_not_winner"":85}","survey-html-form","7","2.1.0","125805","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","11","1","","0","","","[]","NA"
"","","","html-keyboard-response","8","2.1.0","134268","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","27","3","0.08000000000000002","1","0","2","[7,3]","hot_win_number"
"1735","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>3</b></p>

              <div id=""balance-display"">
                Balance: $0.08
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          ","g","html-keyboard-response","9","2.1.0","136004","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","","","","","","","",""
"6881","","{""regret_chosen"":24,""regret_not_winner"":80,""regret_not_hot_probe"":83}","survey-html-form","10","2.1.0","142886","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","27","3","","1","","","[7,3]","hot_win_number"
"","","","html-keyboard-response","11","2.1.0","153965","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","4","19","0.07000000000000002","1","0","16","[36,21,4,3,8,16,15,26,12,19,20,29,17,5,24,33]","hot_win_number"
"2175","
            <div style=""max-width:720px; margin:0 auto;"">
              <img
                src=""img/loss.png""
                alt=""Loss""
                style=""
                  display:block;
                  margin: 0 auto 14px;
                  width: min(280px, 60vw);
                  border-radius: 14px;
                  box-shadow: 0 10px 24px rgba(0,0,0,0.12);
                ""
              />

              <h2 style=""color:#b3122a; margin-bottom:6px;"">
                You lost.
              </h2>

              <p>Winning number: <b>19</b></p>

              <div id=""balance-display"">
                Balance: $0.07
              </div>

              <p style=""margin-top:14px;"">Press any key to continue.</p>
            </div>
          ","g","html-keyboard-response","12","2.1.0","156141","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","","","","","","","",""
"8440","","{""regret_chosen"":28,""regret_not_winner"":44,""regret_not_hot_probe"":45}","survey-html-form","13","2.1.0","164580","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","4","19","","1","","","[36,21,4,3,8,16,15,26,12,19,20,29,17,5,24,33]","hot_win_number"
"","","","html-keyboard-response","14","2.1.0","170173","69693ea7ff8fc8bb505107b2","69693ea7ff8fc8bb505107b2","697001ac4d594eadb9108322","6970136d146685ef196571b5","2026-01-20T23:44:53.464Z","","","","29","29","0.42","0","1","0","[]","NA"
